time_sec,chord_symbol,confidence
84.613515,D,0.205977
84.683175,Bm,0.221545
84.694785,D,0.225739
84.938594,Bm,0.177962
84.996644,Em,0.164258
86.053152,G,0.196692
86.087982,C#m,0.150835
86.111202,D,0.137264
86.285351,Dm,0.205775
86.296961,D,0.207034
86.320181,Dm,0.204606
86.355011,D,0.207050
86.436281,Dm,0.160401
86.447891,A,0.149387
86.471111,Am,0.155982
86.482721,E,0.172902
86.505941,Em,0.178082
86.622041,C,0.214696
86.749751,Em,0.210364
86.761361,C,0.207318
86.807800,Em,0.189245
86.865850,Bm,0.190104
87.190930,F,0.112513
87.202540,Am,0.139223
87.945578,C,0.178968
88.317098,Em,0.150535
88.351927,Bm,0.134008
88.537687,G,0.140358
88.711837,Bm,0.138985
89.060136,G,0.178956
89.280726,D,0.149196
89.454875,A,0.139587
89.629025,E,0.197278
90.186304,Em,0.177068
90.221134,B,0.142835
90.383673,Bm,0.151712
90.395283,B,0.144434
90.406893,Bm,0.143861
90.418503,Em,0.141838
90.464943,E,0.144547
90.476553,Em,0.144883
90.522993,E,0.149719
90.546213,Em,0.145644
90.557823,E,0.148017
90.673923,Em,0.156932
90.697143,E,0.158160
90.708753,Em,0.162239
90.720363,E,0.162079
90.731973,Em,0.162454
90.790023,E,0.158171
90.801633,Em,0.157669
91.254422,C#m,0.116916
91.266032,Bm,0.105827
91.289252,Dm,0.129270
91.486621,C#m,0.104243
91.533061,Dm,0.103400
91.672381,E,0.098122
91.707211,C#m,0.096144
91.730431,E,0.096660
91.753651,Fm,0.098255
91.858141,C,0.121645
92.125170,Am,0.134131
92.148390,C,0.127535
92.171610,Am,0.132661
92.241270,C,0.109982
92.264490,Em,0.112961
92.473469,C,0.148891
92.508299,Em,0.138130
92.554739,E,0.147469
92.566349,Em,0.137981
92.589569,E,0.140731
92.612789,Em,0.136235
92.636009,E,0.127279
92.670839,Bm,0.129498
92.740499,G,0.121478
92.752109,A#,0.113867
92.763719,Bm,0.113605
92.775329,G,0.116932
92.833379,Gm,0.114968
92.844989,A#,0.122085
92.856599,Dm,0.126013
92.903039,D,0.164170
93.019138,G,0.186188
93.193288,D,0.160645
93.320998,Dm,0.126940
93.344218,G,0.120577
93.402268,Dm,0.099046
93.413878,Gm,0.098054
93.495147,Em,0.126565
93.518367,Gm,0.116643
93.529977,Em,0.107356
93.541587,E,0.103661
93.576417,Am,0.100947
93.808617,C#m,0.097114
93.831837,E,0.100872
93.855057,C#m,0.102820
94.005986,E,0.111339
94.145306,Em,0.137131
94.226576,E,0.144815
94.307846,Em,0.148797
94.389116,A,0.131264
94.400726,Am,0.129951
94.412336,A,0.131133
94.458776,Em,0.117636
94.679365,E,0.130272
94.714195,A,0.124634
94.737415,D,0.141159
94.760635,A,0.143550
94.783855,D,0.127054
94.807075,Em,0.102794
95.074104,C#m,0.101360
95.085714,Am,0.102721
95.108934,A,0.106969
95.132154,Am,0.138164
95.166984,A,0.156487
95.178594,Am,0.147860
